date,period_3class,period_binary,loop_ratio,total_plays,unique_tracks,unique_artists,tracks_per_play,avg_ms_played,median_ms_played,std_ms_played,total_listening_minutes,night_play_ratio,morning_play_ratio,afternoon_play_ratio,evening_play_ratio,peak_hour,hour_entropy,day_of_week_num,is_weekend
2025-10-28,regular,regular,0.07692307692307693,52,48,29,0.9230769230769231,174365.8076923077,180190.5,65840.53104163609,151.11703333333332,0.0,0.38461538461538464,0.36538461538461536,0.25,20,3.1547128639340074,1,0
2025-10-29,regular,regular,0.09523809523809523,21,19,15,0.9047619047619048,174035.7142857143,166959.0,71472.83123197434,60.9125,0.0,0.09523809523809523,0.7619047619047619,0.14285714285714285,14,2.332263855443514,2,0
2025-10-30,regular,regular,0.2926829268292683,41,29,26,0.7073170731707317,149968.68292682926,161423.0,73525.46908671819,102.4786,0.0,0.4146341463414634,0.3902439024390244,0.1951219512195122,10,3.05219820284198,3,0
2025-10-31,regular,regular,0.09375,32,29,22,0.90625,139930.8125,138001.0,62838.7704184737,74.62976666666667,0.21875,0.625,0.15625,0.0,11,2.1559459103409546,4,0
2025-11-01,regular,regular,0.25,28,21,12,0.75,168722.85714285713,176378.0,68189.7189832593,78.73733333333334,0.0,0.0,0.8928571428571429,0.10714285714285714,13,1.7681938950758007,5,1
2025-11-02,regular,regular,0.2857142857142857,7,5,5,0.7142857142857143,164539.14285714287,134547.0,96550.95726511221,19.196233333333332,0.0,0.42857142857142855,0.5714285714285714,0.0,12,1.8423709939676525,6,1
2025-11-03,regular,regular,0.16666666666666666,18,15,9,0.8333333333333334,152918.66666666666,169259.5,64089.05099937118,45.8756,0.0,0.16666666666666666,0.8333333333333334,0.0,12,1.8380267549171145,0,0
2025-11-04,pre_exam,exam_period,0.21739130434782608,23,18,16,0.782608695652174,166350.26086956522,181418.0,50278.31476909069,63.7676,0.043478260869565216,0.21739130434782608,0.7391304347826086,0.0,16,2.400565373066644,1,0
2025-11-05,pre_exam,exam_period,0.391304347826087,23,14,13,0.6086956521739131,151722.0,128939.0,76071.60126605604,58.1601,0.0,0.21739130434782608,0.6521739130434783,0.13043478260869565,16,2.733941980211974,2,0
2025-11-06,pre_exam,exam_period,0.1111111111111111,36,32,26,0.8888888888888888,179327.16666666666,171650.0,96551.11281877002,107.5963,0.0,0.19444444444444445,0.7222222222222222,0.08333333333333333,15,2.6132833348859332,3,0
2025-11-07,exam_day,exam_period,0.2,30,24,11,0.8,165235.6,179731.0,84169.00270600893,82.6178,0.5,0.5,0.0,0.0,4,2.236452798367901,4,0
2025-11-08,exam_day,exam_period,0.42105263157894735,38,22,15,0.5789473684210527,169292.0,178958.5,76281.32302633881,107.21826666666666,0.0,0.5,0.34210526315789475,0.15789473684210525,7,2.5853677274981752,5,1
2025-11-09,exam_day,exam_period,0.6923076923076923,13,4,4,0.3076923076923077,143660.53846153847,136529.0,56943.99740039241,31.12645,0.15384615384615385,0.5384615384615384,0.3076923076923077,0.0,8,2.6612262569288525,6,1
2025-11-10,regular,regular,0.2727272727272727,44,32,24,0.7272727272727273,195663.22727272726,200062.0,78183.28944214138,143.48636666666667,0.0,0.1590909090909091,0.6590909090909091,0.18181818181818182,15,2.8221793460653006,0,0
2025-11-11,regular,regular,0.32142857142857145,56,38,26,0.6785714285714286,166212.0,173923.5,67858.94433388344,155.1312,0.0,0.19642857142857142,0.7321428571428571,0.07142857142857142,15,2.977971494428443,1,0
2025-11-12,regular,regular,0.3333333333333333,42,28,22,0.6666666666666666,168192.7380952381,196350.5,67665.87396045492,117.73491666666666,0.0,0.30952380952380953,0.5238095238095238,0.16666666666666666,13,2.9385400417883294,2,0
2025-11-13,regular,regular,0.05555555555555555,54,51,34,0.9444444444444444,154219.5,162767.0,64712.36187312369,138.79755,0.0,0.18518518518518517,0.3148148148148148,0.5,21,2.9959264037512705,3,0
2025-11-14,regular,regular,0.1346153846153846,52,45,36,0.8653846153846154,147923.13461538462,140842.0,58812.72651825398,128.20005,0.15384615384615385,0.28846153846153844,0.5576923076923077,0.0,8,2.3359837688358405,4,0
2025-11-15,regular,regular,0.0,19,19,12,1.0,171418.15789473685,185455.0,52142.835816910076,54.28241666666667,0.0,0.05263157894736842,0.8421052631578947,0.10526315789473684,12,2.0418145162508847,5,1
2025-11-16,pre_exam,exam_period,0.0,7,7,7,1.0,205024.7142857143,212938.0,32647.160038377435,23.91955,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,17,1.6644977799958591,6,1
2025-11-17,pre_exam,exam_period,0.06896551724137931,29,27,19,0.9310344827586207,171732.0,190074.0,78267.25210776216,83.0038,0.0,0.20689655172413793,0.5862068965517241,0.20689655172413793,14,2.6877845484900362,0,0
2025-11-18,pre_exam,exam_period,0.0625,32,30,11,0.9375,226885.78125,232182.0,82845.92246073406,121.00575,0.0,0.0625,0.875,0.0625,12,2.2993004885587327,1,0
2025-11-19,exam_day,exam_period,0.20833333333333334,24,19,15,0.7916666666666666,179484.79166666666,185270.0,68993.40283520444,71.79391666666666,0.0,0.2916666666666667,0.7083333333333334,0.0,13,1.8824373415578586,2,0
2025-11-20,pre_exam,exam_period,0.18421052631578946,38,31,20,0.8157894736842105,196150.36842105264,199155.0,79624.59783170397,124.22856666666667,0.0,0.47368421052631576,0.4473684210526316,0.07894736842105263,11,2.9130648227244804,3,0
2025-11-21,pre_exam,exam_period,0.1794871794871795,39,32,20,0.8205128205128205,181238.46153846153,190072.0,71243.89725806848,117.805,0.0,0.07692307692307693,0.9230769230769231,0.0,12,2.2719204904576036,4,0
2025-11-22,exam_day,exam_period,0.15,40,34,30,0.85,190915.075,204162.5,75529.74054496085,127.27671666666667,0.0,0.8,0.025,0.175,8,2.3981353605416,5,1
2025-11-23,regular,regular,0.07142857142857142,14,13,11,0.9285714285714286,156239.35714285713,148480.0,65541.61004173331,36.45585,0.0,0.9285714285714286,0.0,0.07142857142857142,10,1.5744174279388892,6,1
2025-11-24,regular,regular,0.0,3,3,3,1.0,130948.0,158205.0,76486.17059965809,6.5474,0.0,1.0,0.0,0.0,8,9.500345272644384e-10,0,0
2025-11-25,regular,regular,0.21212121212121213,33,26,18,0.7878787878787878,152288.60606060605,147452.0,87954.3191278644,83.75873333333334,0.0,0.3333333333333333,0.6666666666666666,0.0,10,2.8492861836463983,1,0
2025-11-26,regular,regular,0.16,50,42,34,0.84,185581.16,206903.5,65761.01441641482,154.65096666666668,0.02,0.2,0.54,0.24,14,2.4912809942354963,2,0
